City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,talnakh,69.4865,88.3972,12.34,64,97,0.65,RU,1691971863
1,west island,-12.1568,96.8225,23.99,78,75,7.72,CC,1691971863
2,holyhead,53.3062,-4.6321,16.1,88,100,5.66,GB,1691971863
3,maintirano,-18.0667,44.0167,22.25,81,27,4.08,MG,1691971863
4,bethel,41.3712,-73.414,27.17,71,0,2.06,US,1691971864
5,paungde,18.4833,95.5,24.76,93,100,2.46,MM,1691971864
6,fortuna,40.5982,-124.1573,19.43,79,20,6.17,US,1691971864
7,bilibino,68.0546,166.4372,18.97,40,98,1.7,RU,1691971865
8,grytviken,-54.2811,-36.5092,-6.54,91,50,4.81,GS,1691971865
9,parauna,-16.9478,-50.4486,24.93,33,60,2.68,BR,1691971865
10,adamstown,-25.066,-130.1015,18.77,60,14,4.5,PN,1691971866
11,waitangi,-43.9535,-176.5597,13.79,86,65,3.13,NZ,1691971866
12,trairi,-3.2778,-39.2689,25.73,84,57,5.32,BR,1691971866
13,udachny,66.4167,112.4,13.03,81,98,6.66,RU,1691971827
14,bangassou,4.7413,22.8184,20.64,99,97,0.97,CF,1691971866
15,nemuro,43.3236,145.575,14.5,84,97,7.48,JP,1691971705
16,masterton,-40.9597,175.6575,12.16,89,97,3.95,NZ,1691971867
17,olonkinbyen,70.9221,-8.7187,4.46,84,98,5.2,SJ,1691971867
18,leava,-14.3,-178.1667,27.14,83,82,6.69,WF,1691971867
19,luau,-10.7073,22.2247,15.33,28,22,1.54,AO,1691971867
20,petropavlovsk-kamchatsky,53.0452,158.6483,18.21,72,20,2.0,RU,1691971867
21,pangody,65.85,74.4859,9.67,57,1,2.45,RU,1691971868
22,pacasmayo,-7.4006,-79.5714,21.32,85,94,5.25,PE,1691971868
23,edinburgh of the seven seas,-37.0676,-12.3116,11.16,62,87,5.24,SH,1691971868
24,stanley,54.868,-1.6985,14.04,83,0,2.06,GB,1691971868
25,ushuaia,-54.8,-68.3,2.81,60,0,1.03,AR,1691971273
26,port-aux-francais,-49.35,70.2167,2.39,71,89,7.33,TF,1691971868
27,albany,42.6001,-73.9662,23.36,72,51,2.41,US,1691971849
28,new norfolk,-42.7826,147.0587,9.4,66,33,0.93,AU,1691971869
29,jamestown,42.097,-79.2353,21.92,73,0,2.06,US,1691971848
30,mount gambier,-37.8333,140.7667,9.85,59,23,0.94,AU,1691971869
31,grassano,40.6346,16.2779,15.56,56,0,1.96,IT,1691971869
32,hermanus,-34.4187,19.2345,9.33,68,100,3.56,ZA,1691971869
33,port mathurin,-19.6833,63.4167,22.93,68,11,10.21,MU,1691971869
34,nuuk,64.1835,-51.7216,9.34,93,100,3.6,GL,1691971869
35,ilulissat,69.2167,-51.1,7.01,93,75,0.0,GL,1691971870
36,ketchikan,55.3422,-131.6461,18.26,72,0,2.57,US,1691971870
37,avarua,-21.2078,-159.775,25.03,65,40,4.12,CK,1691971870
38,aasiaat,68.7098,-52.8699,3.42,97,100,1.79,GL,1691971870
39,alice springs,-23.7,133.8833,24.75,27,20,5.66,AU,1691971870
40,hasaki,35.7333,140.8333,29.22,83,3,3.76,JP,1691971870
41,howard springs,-12.497,131.047,26.57,69,4,5.6,AU,1691971870
42,novo selo,41.4139,22.8811,20.31,55,28,2.61,MK,1691971871
43,xifeng,42.7372,124.7222,22.74,85,0,1.24,CN,1691971871
44,darnah,32.767,22.6367,25.12,65,0,4.59,LY,1691971871
45,napili-honokowai,20.9708,-156.6705,30.51,81,1,5.5,US,1691971871
46,tiksi,71.6872,128.8694,12.02,41,51,1.21,RU,1691971871
47,nieuw amsterdam,5.8833,-55.0833,28.34,85,1,5.41,SR,1691971871
48,karratha,-20.7377,116.8463,19.76,45,71,1.81,AU,1691971872
49,ust-nera,64.5667,143.2,25.76,29,86,1.71,RU,1691971872
50,lihue,21.9789,-159.3672,29.77,61,20,6.69,US,1691971872
51,lalsot,26.5667,76.3333,26.31,77,98,2.91,IN,1691971401
52,mahibadhoo,3.7833,72.9667,27.94,74,47,4.52,MV,1691971872
53,tekman,39.6436,41.5078,13.95,66,32,2.61,TR,1691971872
54,badger,64.8,-147.5333,22.3,42,40,3.09,US,1691971872
55,puerto ayora,-0.7393,-90.3518,23.3,74,50,4.56,EC,1691971873
56,nueve de julio,-35.4444,-60.8831,12.76,47,71,2.24,AR,1691971873
57,eydhafushi,5.1033,73.0708,28.04,71,22,5.26,MV,1691971873
58,la passe,45.5549,-0.8967,21.13,76,42,3.09,FR,1691971873
59,holualoa,19.6228,-155.9522,26.91,75,40,5.66,US,1691971873
60,utrik,11.2278,169.8474,28.16,73,35,6.3,MH,1691971873
61,yellowknife,62.456,-114.3525,23.29,47,100,7.2,CA,1691971874
62,ola,59.5833,151.2833,23.97,73,9,2.02,RU,1691971874
63,margaret river,-33.95,115.0667,14.5,78,58,5.81,AU,1691971874
64,ribeira grande,38.5167,-28.7,22.65,88,18,1.34,PT,1691971874
65,taulaga,-11.0553,-171.0883,28.11,72,13,7.78,AS,1691971874
66,saldanha,-33.0117,17.9442,12.94,72,28,6.39,ZA,1691971874
67,longyearbyen,78.2186,15.6401,7.91,93,100,5.66,SJ,1691971874
68,anadyr,64.75,177.4833,19.28,45,0,7.0,RU,1691971875
69,flying fish cove,-10.4217,105.6791,23.82,88,100,3.6,CX,1691971875
70,tralee,52.2704,-9.7026,12.03,93,99,0.82,IE,1691971875
71,romny,50.751,33.4747,15.3,68,7,1.32,UA,1691971875
72,ghat,24.9647,10.1728,29.9,20,0,3.47,LY,1691971877
73,meadow lake,34.8014,-106.5436,33.5,31,90,2.25,US,1691971877
74,puerto natales,-51.7236,-72.4875,2.02,96,97,2.34,CL,1691971841
75,at-bashi,41.1702,75.8106,8.51,49,13,1.38,KG,1691971877
76,sur,22.5667,59.5289,31.33,62,6,2.72,OM,1691971877
77,mount pearl,47.5166,-52.7813,17.96,88,33,1.79,CA,1691971877
78,san antonio de pale,-1.4014,5.6325,23.71,87,100,6.71,GQ,1691971878
79,kruisfontein,-34.0033,24.7314,9.94,88,11,2.7,ZA,1691971878
80,canacona,14.9959,74.0506,25.69,85,100,3.62,IN,1691971878
81,praia,14.9215,-23.5087,27.14,82,67,2.74,CV,1691971878
82,bredasdorp,-34.5322,20.0403,10.55,77,95,2.31,ZA,1691971878
83,vadso,70.0744,29.7487,14.49,94,100,3.6,NO,1691971879
84,mar del plata,-38.0023,-57.5575,11.64,55,75,2.68,AR,1691971724
85,whitehorse,60.7161,-135.0538,17.79,40,58,7.15,CA,1691971879
86,newman,37.3138,-121.0208,32.99,19,52,3.74,US,1691971879
87,enewetak,11.3474,162.3373,28.86,73,100,5.69,MH,1691971879
88,vorgashor,67.5833,63.95,15.16,97,98,2.46,RU,1691971879
89,sinabang,2.4803,96.3801,23.92,94,100,3.73,ID,1691971880
90,tazovsky,67.4667,78.7,8.18,74,1,2.18,RU,1691971880
